Price,Promotional_Price,Url
,"329,-",https://www.coolblue.nl/en/product/823381/acer-spin-1-sp111-33-c9fu.html
,"1.029,-",https://www.coolblue.nl/en/product/812688/acer-aspire-7-a715-72g-70f7.html
,"2.099,-",https://www.coolblue.nl/en/product/816389/apple-macbook-pro-13-inches-touch-bar-2018-mr9v2n-a-silver.html
"799,-","679,15",https://www.coolblue.nl/en/product/821827/hp-chromebook-x360-14-da0500nd.html
,"2.499,-",https://www.coolblue.nl/en/product/826165/hp-spectre-folio-convertible-13-ak0950nd.html
,"4.119,-",https://www.coolblue.nl/en/product/816475/apple-macbook-pro-15-inch-touch-bar-2018-32-512gb-2-9ghz-space-gray.html
,"1.099,-",https://www.coolblue.nl/en/product/825168/asus-zenbook-ux410ua-gv221t.html
,"1.899,-",https://www.coolblue.nl/en/product/822474/hp-spectre-x360-13-ap0400nd.html
,"2.699,-",https://www.coolblue.nl/en/product/824920/asus-rog-zephyrus-gx701gw-ev008t.html
,"4.259,-",https://www.coolblue.nl/en/product/816458/apple-macbook-pro-15-inch-touch-bar-2018-32gb-1tb-2-6ghz-space-gray.html
"999,-","899,-",https://www.coolblue.nl/en/product/780570/asus-zenbook-ux410ua-gv190t.html
"1.199,-","1.049,-",https://www.coolblue.nl/en/product/822505/acer-chromebook-spin-13-cp713-1wn-866q.html
,"669,-",https://www.coolblue.nl/en/product/815076/hp-pavilion-x360-15-cr0130nd.html
,"2.399,-",https://www.coolblue.nl/en/product/824916/asus-rog-zephyrus-gx701gv-ev001t.html
,"2.999,-",https://www.coolblue.nl/en/product/820062/hp-elitebook-1050-g1-i7-16gb-1tb-gtx1050.html
,"2.999,-",https://www.coolblue.nl/en/product/824768/msi-ge75-8sg-009nl.html
,"1.449,-",https://www.coolblue.nl/en/product/824255/microsoft-surface-laptop-2-i5-8gb-256gb-burgundy.html
,"599,-",https://www.coolblue.nl/en/product/819923/lenovo-ideapad-330s-14ikb-81f40162mh.html
,"299,-",https://www.coolblue.nl/en/product/823633/lenovo-ideapad-s130-14igm-81j2009dmh.html
,"1.099,-",https://www.coolblue.nl/en/product/825159/asus-zenbook-ux433fa-a5130t.html
,"3.519,-",https://www.coolblue.nl/en/product/816462/apple-macbook-pro-15-inch-touch-bar-2018-16-512gb-2-9ghz-space-gray.html
,"1.049,-",https://www.coolblue.nl/en/product/809500/toshiba-tecra-a50-e-i7-8gb-256ssd.html
"379,-","349,-",https://www.coolblue.nl/en/product/820007/lenovo-ideapad-s130-14igm-81j2008vmh.html
,"1.149,-",https://www.coolblue.nl/en/product/817416/lenovo-thinkpad-l380-yoga-i7-8gb-256gb-ssd.html
,"269,-",https://www.coolblue.nl/en/product/818019/asus-chromebook-12-c223na-gj006.html
,"2.089,-",https://www.coolblue.nl/en/product/798282/microsoft-surface-book-2-i7-8gb-256gb.html
,"949,-",https://www.coolblue.nl/en/product/815145/hp-envy-13-ah0100nd.html
,"369,-",https://www.coolblue.nl/en/product/825048/asus-chromebook-c423na-eb0108.html
,"1.199,-",https://www.coolblue.nl/en/product/825154/asus-zenbook-ux333fn-a3034t.html
,"1.539,-",https://www.coolblue.nl/en/product/782853/apple-macbook-pro-13-2017-mpxu2n-a-silver.html
,"499,-",https://www.coolblue.nl/en/product/807819/acer-spin-1-sp111-32n-p7l4.html
,"429,-",https://www.coolblue.nl/en/product/813169/hp-17-ca0933nd.html
"929,-","849,-",https://www.coolblue.nl/en/product/813032/lenovo-legion-y530-15ich-81fv0051mh.html
"249,-","211,65",https://www.coolblue.nl/en/product/815067/hp-chromebook-11-v005nd.html
,"1.329,-",https://www.coolblue.nl/en/product/782849/apple-macbook-pro-13-2017-mpxr2n-a-silver.html
"699,-","599,-",https://www.coolblue.nl/en/product/805463/toshiba-satellite-r50-c-1dl-i3-8gb-128ssd.html
,"2.099,-",https://www.coolblue.nl/en/product/805442/apple-macbook-12-2017-16-512gb-1-4ghz-space-gray.html
,"1.449,-",https://www.coolblue.nl/en/product/825061/hp-probook-440-g6-i7-16gb-512ssd.html
,"1.099,-",https://www.coolblue.nl/en/product/825153/asus-zenbook-ux333fa-a3076t.html
,"3.089,-",https://www.coolblue.nl/en/product/798269/microsoft-surface-book-2-i7-16gb-1tb.html
"619,-","599,-",https://www.coolblue.nl/en/product/826962/acer-spin-3-sp314-51-31m0.html
,"1.699,-",https://www.coolblue.nl/en/product/826164/hp-spectre-folio-convertible-13-ak0200nd.html
,"2.199,-",https://www.coolblue.nl/en/product/825549/acer-predator-helios-500-ph517-61-r65g.html
,"1.999,-",https://www.coolblue.nl/en/product/825542/acer-predator-triton-500-pt515-51-766b.html
,"3.779,-",https://www.coolblue.nl/en/product/816449/apple-macbook-pro-15-inch-touch-bar-2018-16gb-1tb-2-6ghz-space-gray.html
,"4.959,-",https://www.coolblue.nl/en/product/816446/apple-macbook-pro-15-inch-touch-bar-2018-32gb-2tb-2-2ghz-space-gray.html
,"1.599,-",https://www.coolblue.nl/en/product/825148/asus-zenbook-ux362fa-el046t.html
"1.849,-","1.749,-",https://www.coolblue.nl/en/product/822695/apple-macbook-air-13-3-inches-2018-8-512gb-1-6ghz-space-gray.html
,"3.279,-",https://www.coolblue.nl/en/product/816443/apple-macbook-pro-15-inch-touch-bar-2018-32-256gb-2-2ghz-space-gray.html
,"3.999,-",https://www.coolblue.nl/en/product/816463/apple-macbook-pro-15-inch-touch-bar-2018-16gb-1tb-2-9ghz-space-gray.html
,"949,-",https://www.coolblue.nl/en/product/813028/lenovo-ideapad-530s-15ikb-81ev0072mh.html
,"799,-",https://www.coolblue.nl/en/product/809386/acer-spin-5-sp513-52n-5210.html
,"1.649,-",https://www.coolblue.nl/en/product/819467/msi-p65-8rd-030nl.html
,"1.299,-",https://www.coolblue.nl/en/product/809505/toshiba-portege-x30-e-10d-i5-8gb-256ssd.html
"2.199,-","1.799,-",https://www.coolblue.nl/en/product/812793/msi-gs65-stealth-thin-8re-042nl.html
,"999,-",https://www.coolblue.nl/en/product/817972/msi-ps42-8m-208nl.html
,"349,-",https://www.coolblue.nl/en/product/824480/hp-14-df0006nd.html
"1.699,-","1.599,-",https://www.coolblue.nl/en/product/819468/msi-p65-8re-028nl.html
,"2.099,-",https://www.coolblue.nl/en/product/824764/msi-ge75-8se-007nl.html
,"2.249,-",https://www.coolblue.nl/en/product/824875/lenovo-legion-y740-15ichg-81he000lmh.html
,"1.199,-",https://www.coolblue.nl/en/product/825164/asus-zenbook-ux480fd-be043t.html
,"1.449,-",https://www.coolblue.nl/en/product/825062/hp-probook-430-g6-i7-16gb-512ssd.html
,"2.349,-",https://www.coolblue.nl/en/product/824878/lenovo-legion-y740-17ichg-81hh000rmh.html
,"2.099,-",https://www.coolblue.nl/en/product/824877/lenovo-legion-y740-17ichg-81hh000qmh.html
,"3.899,-",https://www.coolblue.nl/en/product/824774/msi-gt75-8sg-005nl.html
"269,-","249,-",https://www.coolblue.nl/en/product/741436/acer-chromebook-15-cb3-532-c968.html
,"1.429,-",https://www.coolblue.nl/en/product/805942/dell-xps-13-9370-cnx37001.html
,"1.399,-",https://www.coolblue.nl/en/product/807882/hp-omen-15-ce096nd.html
,"299,-",https://www.coolblue.nl/en/product/823634/lenovo-ideapad-s130-14igm-81j2009emh.html
"2.499,-","1.779,-",https://www.coolblue.nl/en/product/781264/microsoft-surface-pro-i7-16gb-512gb.html
,"1.329,-",https://www.coolblue.nl/en/product/825399/dell-latitude-5590-3jj3h-3y.html
,"1.179,-",https://www.coolblue.nl/en/product/817417/lenovo-thinkpad-t480-i5-8gb-256gb-ssd.html
,"5.559,-",https://www.coolblue.nl/en/product/816477/apple-macbook-pro-15-inch-touch-bar-2018-32gb-2tb-2-9ghz-space-gray.html
,"2.999,-",https://www.coolblue.nl/en/product/795320/hp-omen-x-17-ap010nd.html
,"3.759,-",https://www.coolblue.nl/en/product/816466/apple-macbook-pro-15-inch-touch-bar-2018-32-256gb-2-9ghz-space-gray.html
,"3.089,-",https://www.coolblue.nl/en/product/822698/apple-macbook-air-13-3-inches-2018-16gb-1-5tb-1-6ghz-gray.html
"2.199,-","2.099,-",https://www.coolblue.nl/en/product/819469/msi-p65-8rf-456nl.html
,"2.949,-",https://www.coolblue.nl/en/product/817564/dell-xps-15-2-in-1-9575-cn95704.html
,"1.729,-",https://www.coolblue.nl/en/product/819283/toshiba-portege-x30-e-17d-i7-16gb-512ssd.html
,"1.699,-",https://www.coolblue.nl/en/product/815035/acer-swift-7-sf714-51t-m64v.html
,"2.799,-",https://www.coolblue.nl/en/product/822477/hp-spectre-x360-15-df0500nd.html
,"1.199,-",https://www.coolblue.nl/en/product/815147/hp-envy-x360-13-ag0590nd.html
,"3.349,-",https://www.coolblue.nl/en/product/817563/dell-xps-15-9570-bnx97007.html
